{'loss': 0.14595075096468169, 'mode': 'train', 'accuracy': 0.9484, 'epoch': 35}
{'loss': 0.3677537344443568, 'mode': 'test', 'accuracy': 0.8877, 'epoch': 35}
{'loss': 0.13826148995600873, 'mode': 'train', 'accuracy': 0.95162, 'epoch': 36}
{'loss': 0.32227574677983667, 'mode': 'test', 'accuracy': 0.897, 'epoch': 36}
{'loss': 0.1371391208751885, 'mode': 'train', 'accuracy': 0.95134, 'epoch': 37}
{'loss': 0.36377236527052664, 'mode': 'test', 'accuracy': 0.8878, 'epoch': 37}
{'loss': 0.1421136042565261, 'mode': 'train', 'accuracy': 0.95016, 'epoch': 38}
{'loss': 0.40794309821857755, 'mode': 'test', 'accuracy': 0.8737, 'epoch': 38}
{'loss': 0.1342421312771185, 'mode': 'train', 'accuracy': 0.95234, 'epoch': 39}
{'loss': 0.35370542820851547, 'mode': 'test', 'accuracy': 0.8885, 'epoch': 39}
{'loss': 0.12878580621022084, 'mode': 'train', 'accuracy': 0.95524, 'epoch': 40}
{'loss': 0.3172357419778587, 'mode': 'test', 'accuracy': 0.8967, 'epoch': 40}
{'loss': 0.12973436064389354, 'mode': 'train', 'accuracy': 0.95464, 'epoch': 41}
{'loss': 0.35643544081290046, 'mode': 'test', 'accuracy': 0.885, 'epoch': 41}
{'loss': 0.1272757337916918, 'mode': 'train', 'accuracy': 0.95566, 'epoch': 42}
{'loss': 0.3792462154368685, 'mode': 'test', 'accuracy': 0.8845, 'epoch': 42}
{'loss': 0.12080350213343537, 'mode': 'train', 'accuracy': 0.95796, 'epoch': 43}
{'loss': 0.3655736175881829, 'mode': 'test', 'accuracy': 0.8838, 'epoch': 43}
{'loss': 0.13208171827218415, 'mode': 'train', 'accuracy': 0.95406, 'epoch': 44}
{'loss': 0.37989494726536377, 'mode': 'test', 'accuracy': 0.8862, 'epoch': 44}
{'loss': 0.12700393828360945, 'mode': 'train', 'accuracy': 0.95548, 'epoch': 45}
{'loss': 0.3858829955955978, 'mode': 'test', 'accuracy': 0.8787, 'epoch': 45}
{'loss': 0.12482963224677625, 'mode': 'train', 'accuracy': 0.95594, 'epoch': 46}
{'loss': 0.44605165663038876, 'mode': 'test', 'accuracy': 0.8673, 'epoch': 46}
{'loss': 0.12752690182908277, 'mode': 'train', 'accuracy': 0.95468, 'epoch': 47}
{'loss': 0.31893871188353584, 'mode': 'test', 'accuracy': 0.8983, 'epoch': 47}
{'loss': 0.11698215041319131, 'mode': 'train', 'accuracy': 0.96002, 'epoch': 48}
{'loss': 0.3625094685584876, 'mode': 'test', 'accuracy': 0.8917, 'epoch': 48}
{'loss': 0.12403058114907006, 'mode': 'train', 'accuracy': 0.95662, 'epoch': 49}
{'loss': 0.3296422512762864, 'mode': 'test', 'accuracy': 0.8969, 'epoch': 49}
{'loss': 0.1272525352371089, 'mode': 'train', 'accuracy': 0.95534, 'epoch': 50}
{'loss': 0.3386812239980241, 'mode': 'test', 'accuracy': 0.895, 'epoch': 50}
{'loss': 0.11568249926409305, 'mode': 'train', 'accuracy': 0.95972, 'epoch': 51}
{'loss': 0.3947831172804543, 'mode': 'test', 'accuracy': 0.8767, 'epoch': 51}
{'loss': 0.12011221469477616, 'mode': 'train', 'accuracy': 0.95718, 'epoch': 52}
{'loss': 0.3793963777601337, 'mode': 'test', 'accuracy': 0.887, 'epoch': 52}
{'loss': 0.11552935730084742, 'mode': 'train', 'accuracy': 0.9598, 'epoch': 53}
{'loss': 0.32679434561995174, 'mode': 'test', 'accuracy': 0.897, 'epoch': 53}
{'loss': 0.1209672183189015, 'mode': 'train', 'accuracy': 0.9573, 'epoch': 54}
{'loss': 0.3719159721568893, 'mode': 'test', 'accuracy': 0.8864, 'epoch': 54}
{'loss': 0.11716402408755039, 'mode': 'train', 'accuracy': 0.95936, 'epoch': 55}
{'loss': 0.36333953593946555, 'mode': 'test', 'accuracy': 0.8887, 'epoch': 55}
{'loss': 0.11315495698996218, 'mode': 'train', 'accuracy': 0.96074, 'epoch': 56}
{'loss': 0.4135039511379924, 'mode': 'test', 'accuracy': 0.8795, 'epoch': 56}
{'loss': 0.12246145337076911, 'mode': 'train', 'accuracy': 0.95652, 'epoch': 57}
{'loss': 0.36573378843771404, 'mode': 'test', 'accuracy': 0.895, 'epoch': 57}
{'loss': 0.11873567865594557, 'mode': 'train', 'accuracy': 0.9589, 'epoch': 58}
{'loss': 0.32789962482490376, 'mode': 'test', 'accuracy': 0.8985, 'epoch': 58}
{'loss': 0.1111869095107707, 'mode': 'train', 'accuracy': 0.96088, 'epoch': 59}
{'loss': 0.31956303617946663, 'mode': 'test', 'accuracy': 0.9019, 'epoch': 59}
{'loss': 0.11284812037235184, 'mode': 'train', 'accuracy': 0.96058, 'epoch': 60}
{'loss': 0.41686087353214346, 'mode': 'test', 'accuracy': 0.8788, 'epoch': 60}
{'loss': 0.11122333228854889, 'mode': 'train', 'accuracy': 0.96026, 'epoch': 61}
{'loss': 0.32971022278070444, 'mode': 'test', 'accuracy': 0.9001, 'epoch': 61}
{'loss': 0.11963782632423317, 'mode': 'train', 'accuracy': 0.95828, 'epoch': 62}
{'loss': 0.3454684309993581, 'mode': 'test', 'accuracy': 0.8994, 'epoch': 62}
{'loss': 0.11059534256739537, 'mode': 'train', 'accuracy': 0.96144, 'epoch': 63}
{'loss': 0.31646555961127504, 'mode': 'test', 'accuracy': 0.9014, 'epoch': 63}
{'loss': 0.11062525651986947, 'mode': 'train', 'accuracy': 0.96198, 'epoch': 64}
{'loss': 0.31434019868540924, 'mode': 'test', 'accuracy': 0.9023, 'epoch': 64}
{'loss': 0.11140347934325633, 'mode': 'train', 'accuracy': 0.96036, 'epoch': 65}
{'loss': 0.35508800032222365, 'mode': 'test', 'accuracy': 0.8972, 'epoch': 65}
{'loss': 0.11169958122722486, 'mode': 'train', 'accuracy': 0.96086, 'epoch': 66}
{'loss': 0.3512634305864763, 'mode': 'test', 'accuracy': 0.8917, 'epoch': 66}
{'loss': 0.10244222205427597, 'mode': 'train', 'accuracy': 0.96394, 'epoch': 67}
{'loss': 0.31726920263023156, 'mode': 'test', 'accuracy': 0.9007, 'epoch': 67}
{'loss': 0.1143791249350591, 'mode': 'train', 'accuracy': 0.95992, 'epoch': 68}
{'loss': 0.37649213256919456, 'mode': 'test', 'accuracy': 0.8858, 'epoch': 68}
{'loss': 0.10819580082488638, 'mode': 'train', 'accuracy': 0.96228, 'epoch': 69}
{'loss': 0.36308417421807143, 'mode': 'test', 'accuracy': 0.895, 'epoch': 69}
{'loss': 0.107644793227353, 'mode': 'train', 'accuracy': 0.96276, 'epoch': 70}
{'loss': 0.3798946409848085, 'mode': 'test', 'accuracy': 0.8897, 'epoch': 70}
{'loss': 0.11175771160503786, 'mode': 'train', 'accuracy': 0.9597, 'epoch': 71}
{'loss': 0.3433622278178194, 'mode': 'test', 'accuracy': 0.8938, 'epoch': 71}
{'loss': 0.10451170038003152, 'mode': 'train', 'accuracy': 0.96332, 'epoch': 72}
{'loss': 0.34372054244492484, 'mode': 'test', 'accuracy': 0.8974, 'epoch': 72}
{'loss': 0.10656377096729519, 'mode': 'train', 'accuracy': 0.96342, 'epoch': 73}
{'loss': 0.40727046791725086, 'mode': 'test', 'accuracy': 0.8828, 'epoch': 73}
{'loss': 0.10515571675260958, 'mode': 'train', 'accuracy': 0.96414, 'epoch': 74}
{'loss': 0.3458297490409226, 'mode': 'test', 'accuracy': 0.8928, 'epoch': 74}
{'loss': 0.1191441372580006, 'mode': 'train', 'accuracy': 0.95764, 'epoch': 75}
{'loss': 0.3132177760741512, 'mode': 'test', 'accuracy': 0.9047, 'epoch': 75}
{'loss': 0.09833235890530717, 'mode': 'train', 'accuracy': 0.96574, 'epoch': 76}
{'loss': 0.388969161090957, 'mode': 'test', 'accuracy': 0.8909, 'epoch': 76}
{'loss': 0.110223984412487, 'mode': 'train', 'accuracy': 0.96114, 'epoch': 77}
{'loss': 0.4030241401047463, 'mode': 'test', 'accuracy': 0.8849, 'epoch': 77}
{'loss': 0.10254152673189432, 'mode': 'train', 'accuracy': 0.9643, 'epoch': 78}
{'loss': 0.36017628640505905, 'mode': 'test', 'accuracy': 0.8902, 'epoch': 78}
{'loss': 0.10229657004918452, 'mode': 'train', 'accuracy': 0.96506, 'epoch': 79}
{'loss': 0.33533618876793575, 'mode': 'test', 'accuracy': 0.8989, 'epoch': 79}
{'loss': 0.10514314044886229, 'mode': 'train', 'accuracy': 0.9631, 'epoch': 80}
{'loss': 0.32156302969736655, 'mode': 'test', 'accuracy': 0.8998, 'epoch': 80}
{'loss': 0.03282824413531726, 'mode': 'train', 'accuracy': 0.99072, 'epoch': 81}
{'loss': 0.20515715065085965, 'mode': 'test', 'accuracy': 0.9339, 'epoch': 81}
{'loss': 0.01350882985269474, 'mode': 'train', 'accuracy': 0.9978, 'epoch': 82}
{'loss': 0.19697249559744914, 'mode': 'test', 'accuracy': 0.9372, 'epoch': 82}
{'loss': 0.008524119563381696, 'mode': 'train', 'accuracy': 0.9991, 'epoch': 83}
{'loss': 0.19931975408059782, 'mode': 'test', 'accuracy': 0.9392, 'epoch': 83}
{'loss': 0.0066426828541719125, 'mode': 'train', 'accuracy': 0.99944, 'epoch': 84}
{'loss': 0.2015725691939235, 'mode': 'test', 'accuracy': 0.9384, 'epoch': 84}
{'loss': 0.005650836779066665, 'mode': 'train', 'accuracy': 0.9996, 'epoch': 85}
{'loss': 0.20040988993303033, 'mode': 'test', 'accuracy': 0.9402, 'epoch': 85}
{'loss': 0.0046106673910489785, 'mode': 'train', 'accuracy': 0.99968, 'epoch': 86}
{'loss': 0.19892071377319898, 'mode': 'test', 'accuracy': 0.9407, 'epoch': 86}
{'loss': 0.0038957311998090486, 'mode': 'train', 'accuracy': 0.99986, 'epoch': 87}
{'loss': 0.19834516195070215, 'mode': 'test', 'accuracy': 0.9406, 'epoch': 87}
{'loss': 0.0033843571896595673, 'mode': 'train', 'accuracy': 0.99982, 'epoch': 88}
{'loss': 0.20265623044436146, 'mode': 'test', 'accuracy': 0.9402, 'epoch': 88}
{'loss': 0.0029600172320290307, 'mode': 'train', 'accuracy': 0.99994, 'epoch': 89}
{'loss': 0.20081229363182546, 'mode': 'test', 'accuracy': 0.9412, 'epoch': 89}
{'loss': 0.0027051162727348647, 'mode': 'train', 'accuracy': 0.99998, 'epoch': 90}
{'loss': 0.20215579528053107, 'mode': 'test', 'accuracy': 0.9418, 'epoch': 90}
{'loss': 0.0024923448310331313, 'mode': 'train', 'accuracy': 1.0, 'epoch': 91}
{'loss': 0.20225652226596882, 'mode': 'test', 'accuracy': 0.9407, 'epoch': 91}
{'loss': 0.0024084903280753313, 'mode': 'train', 'accuracy': 0.99996, 'epoch': 92}
{'loss': 0.20304609695152873, 'mode': 'test', 'accuracy': 0.9414, 'epoch': 92}
{'loss': 0.0023134369831865724, 'mode': 'train', 'accuracy': 1.0, 'epoch': 93}
{'loss': 0.20222375193124362, 'mode': 'test', 'accuracy': 0.9414, 'epoch': 93}
{'loss': 0.0021321029042648864, 'mode': 'train', 'accuracy': 1.0, 'epoch': 94}
{'loss': 0.20504200764617356, 'mode': 'test', 'accuracy': 0.9414, 'epoch': 94}
{'loss': 0.0019849520224287064, 'mode': 'train', 'accuracy': 1.0, 'epoch': 95}
{'loss': 0.19992726236866534, 'mode': 'test', 'accuracy': 0.9418, 'epoch': 95}
{'loss': 0.0019801507330001766, 'mode': 'train', 'accuracy': 1.0, 'epoch': 96}
{'loss': 0.1987796726452696, 'mode': 'test', 'accuracy': 0.9424, 'epoch': 96}
{'loss': 0.0019010657068256227, 'mode': 'train', 'accuracy': 1.0, 'epoch': 97}
{'loss': 0.20633137987772357, 'mode': 'test', 'accuracy': 0.9434, 'epoch': 97}
{'loss': 0.0018241628242270718, 'mode': 'train', 'accuracy': 1.0, 'epoch': 98}
{'loss': 0.20270946211401053, 'mode': 'test', 'accuracy': 0.9411, 'epoch': 98}
{'loss': 0.0018041755603936025, 'mode': 'train', 'accuracy': 0.99998, 'epoch': 99}
{'loss': 0.1996593784991724, 'mode': 'test', 'accuracy': 0.9426, 'epoch': 99}
{'loss': 0.0016947369307965567, 'mode': 'train', 'accuracy': 1.0, 'epoch': 100}
{'loss': 0.19792235255905777, 'mode': 'test', 'accuracy': 0.9429, 'epoch': 100}
