{'loss': 0.14720909192662707, 'mode': 'train', 'epoch': 35, 'accuracy': 0.94744}
{'loss': 0.3880315438672237, 'mode': 'test', 'epoch': 35, 'accuracy': 0.8845}
{'loss': 0.14748527040547874, 'mode': 'train', 'epoch': 36, 'accuracy': 0.948}
{'loss': 0.416666530072689, 'mode': 'test', 'epoch': 36, 'accuracy': 0.8701}
{'loss': 0.1519192961351875, 'mode': 'train', 'epoch': 37, 'accuracy': 0.94632}
{'loss': 0.4118852260386108, 'mode': 'test', 'epoch': 37, 'accuracy': 0.8726}
{'loss': 0.1538788779731601, 'mode': 'train', 'epoch': 38, 'accuracy': 0.94612}
{'loss': 0.4324377569233539, 'mode': 'test', 'epoch': 38, 'accuracy': 0.872}
{'loss': 0.14536677703947343, 'mode': 'train', 'epoch': 39, 'accuracy': 0.94912}
{'loss': 0.36516678504123795, 'mode': 'test', 'epoch': 39, 'accuracy': 0.8863}
{'loss': 0.139217748275727, 'mode': 'train', 'epoch': 40, 'accuracy': 0.95086}
{'loss': 0.4048831054739131, 'mode': 'test', 'epoch': 40, 'accuracy': 0.8789}
{'loss': 0.14121819838709998, 'mode': 'train', 'epoch': 41, 'accuracy': 0.9512}
{'loss': 0.38245561253872645, 'mode': 'test', 'epoch': 41, 'accuracy': 0.8806}
{'loss': 0.13981572827300454, 'mode': 'train', 'epoch': 42, 'accuracy': 0.95032}
{'loss': 0.3862506180622015, 'mode': 'test', 'epoch': 42, 'accuracy': 0.8819}
{'loss': 0.14481345783738067, 'mode': 'train', 'epoch': 43, 'accuracy': 0.94988}
{'loss': 0.35895476573307067, 'mode': 'test', 'epoch': 43, 'accuracy': 0.8881}
{'loss': 0.13126857663550043, 'mode': 'train', 'epoch': 44, 'accuracy': 0.95318}
{'loss': 0.39577574918794023, 'mode': 'test', 'epoch': 44, 'accuracy': 0.8781}
{'loss': 0.13475442316640368, 'mode': 'train', 'epoch': 45, 'accuracy': 0.9526}
{'loss': 0.4135137971988911, 'mode': 'test', 'epoch': 45, 'accuracy': 0.8754}
{'loss': 0.13911602763778272, 'mode': 'train', 'epoch': 46, 'accuracy': 0.95068}
{'loss': 0.3681163952751145, 'mode': 'test', 'epoch': 46, 'accuracy': 0.8884}
{'loss': 0.13189648480995378, 'mode': 'train', 'epoch': 47, 'accuracy': 0.9543}
{'loss': 0.38697044527644586, 'mode': 'test', 'epoch': 47, 'accuracy': 0.8784}
{'loss': 0.13368999465937959, 'mode': 'train', 'epoch': 48, 'accuracy': 0.95376}
{'loss': 0.40222299274555445, 'mode': 'test', 'epoch': 48, 'accuracy': 0.8782}
{'loss': 0.13029073807589528, 'mode': 'train', 'epoch': 49, 'accuracy': 0.95462}
{'loss': 0.38152846404511415, 'mode': 'test', 'epoch': 49, 'accuracy': 0.8864}
{'loss': 0.1335244185631843, 'mode': 'train', 'epoch': 50, 'accuracy': 0.95284}
{'loss': 0.36329996377039864, 'mode': 'test', 'epoch': 50, 'accuracy': 0.8874}
{'loss': 0.13204549131033688, 'mode': 'train', 'epoch': 51, 'accuracy': 0.95398}
{'loss': 0.3553180611532206, 'mode': 'test', 'epoch': 51, 'accuracy': 0.8862}
{'loss': 0.12910209198379927, 'mode': 'train', 'epoch': 52, 'accuracy': 0.95478}
{'loss': 0.35513117449108955, 'mode': 'test', 'epoch': 52, 'accuracy': 0.888}
{'loss': 0.12485227229840624, 'mode': 'train', 'epoch': 53, 'accuracy': 0.95728}
{'loss': 0.38907561878300007, 'mode': 'test', 'epoch': 53, 'accuracy': 0.8831}
{'loss': 0.12308644332334673, 'mode': 'train', 'epoch': 54, 'accuracy': 0.95758}
{'loss': 0.3873825145849756, 'mode': 'test', 'epoch': 54, 'accuracy': 0.8887}
{'loss': 0.12965246650111636, 'mode': 'train', 'epoch': 55, 'accuracy': 0.95424}
